Codigo;Hacinamiento;VIvInconv;SanitarioNo;EscolaridadNO;SUbsiNo;NBISi
660280510;0.57;1.15;0;0;0;1.44
660280511;0.26;2.05;0;0.26;0;2.56
660280512;2.82;4.47;0;1.41;0.24;8.47
660280513;1.07;1.07;0;0.53;0;2.67
660280514;0;0.34;0;0;0;0.34
660280515;4.94;3.09;1.23;0.62;1.85;11.11
660280601;1.87;4.36;0.62;1.25;0.31;8.41
660280602;4.1;10.84;0.96;0.72;0.72;15.9
660280603;4.76;6.77;0.75;0.5;1;12.03
660280604;0.65;10.13;0;0.65;0.33;11.44
660280605;1.22;10.94;1.52;0.3;0;12.16
660280606;0.63;9.06;0;0;0;9.69
660280607;0.9;0.9;0;0;0;1.79
660280608;1.3;8.31;0;0;0;9.35
660280609;0.63;7.97;0.21;0;0.21;8.39
660280610;1.61;37.1;0;0;0;37.5
660280611;2.75;23.14;1.57;0.39;0.78;26.67
660280612;0.75;4.48;0;0;0.37;5.6
660280613;2.33;2.33;0;0.23;0.7;4.9
660280614;1.81;2.71;0.45;0.9;0.45;6.33
660280615;1.28;3.42;0;0;0;4.7
660280701;11.29;4.52;3.55;0.32;0.97;17.42
660280702;5.72;1.51;1.51;2.11;0.6;11.14
660280703;3.3;4.12;0.62;0.62;1.03;9.28
660280704;5.19;4.55;2.6;1.73;0.43;12.34
660280705;8.51;6.12;2.13;2.39;0.8;16.76
660280706;10.66;1.84;4.04;1.1;1.1;17.65
660280707;3.97;6.32;3.07;1.81;0.54;14.44
660280708;4.17;19.35;0.6;1.79;0.6;25.89
660280709;7;2.33;3;2;1.33;14.67
660280710;5.26;10.18;5.26;2.81;0.35;20.35
660280711;4.97;7.28;0;1.99;0.33;13.91
660280712;5.61;2.94;1.07;0.53;1.07;10.7
660280713;7.77;2.26;4.26;2.26;0.75;14.79
660280801;1.95;2.6;0.43;1.08;0.22;6.07
660280802;0.45;0;0;0.9;0;1.35
660280803;0.82;2.47;0.41;0.41;0;4.12
660280804;7;8.12;0.84;0.28;0.28;14.85
660280805;4.35;9.84;0.69;1.14;0.23;15.33
660280806;0.89;6.51;0;0.3;0.59;7.99
660280807;2.2;6.36;0.49;0.49;0.24;9.54
660280808;0.67;3.37;0;0.34;0.34;4.38
660280809;0.31;1.88;0;0.63;0;2.81
660280810;1.06;3.19;0.35;0;0.35;4.61
660280811;0;0.25;0.51;0;0.51;1.27
660280812;0.34;0.34;0;1.03;0;1.72
660280813;1.44;0;0;0.48;0;1.92
660280814;5.47;4.48;0;0.5;1;10.95
660280901;1.36;3.39;0.45;0.9;0.68;6.33
